pattern,n_agents,seed,burst_score,gate_time_s,decision
correlated_bursts,10000,100,0.5293244240180331,0.004975905000264902,MP
correlated_bursts,10000,101,0.5366899231304991,0.003997096000148304,MP
correlated_bursts,10000,102,0.5411006174057629,0.007571886999812705,MP
correlated_bursts,10000,103,0.543165841023813,0.004182180000043445,MP
correlated_bursts,10000,104,0.5325787510065972,0.0039049090000844444,MP
correlated_bursts,10000,105,0.548282250726495,0.00396149299967874,MP
correlated_bursts,10000,106,0.5981233538319914,0.0038213660000110394,MP
correlated_bursts,10000,107,0.5512413714520057,0.003897858999607706,MP
correlated_bursts,10000,108,0.5323276856658475,0.0038786209997851984,MP
correlated_bursts,10000,109,0.5408971685465904,0.0038354159996742965,MP
correlated_bursts,100000,100,0.5268565822714932,0.039538648999950965,MP
correlated_bursts,100000,101,0.5403039604603797,0.036568362999787496,MP
correlated_bursts,100000,102,0.5445339334816524,0.03867956800013417,MP
correlated_bursts,100000,103,0.5440123074055296,0.035940093000135676,MP
correlated_bursts,100000,104,0.5341224100269537,0.03570354299972678,MP
correlated_bursts,100000,105,0.5532653841929914,0.03416427499996644,MP
correlated_bursts,100000,106,0.5950097423262528,0.035416858999724354,MP
correlated_bursts,100000,107,0.5533337381268806,0.03530878899982781,MP
correlated_bursts,100000,108,0.5339202363834145,0.0349217560001307,MP
correlated_bursts,100000,109,0.5403041367157089,0.03445500499992704,MP
correlated_bursts,1000000,100,0.5264796122324952,0.5637335970000095,MP
correlated_bursts,1000000,101,0.541375351047935,0.3381632699997681,MP
correlated_bursts,1000000,102,0.5440773611181351,0.28777253899988864,MP
correlated_bursts,1000000,103,0.5419837209024435,0.2883139209998262,MP
correlated_bursts,1000000,104,0.5348077020297903,0.2863497430003008,MP
correlated_bursts,1000000,105,0.5526700039668114,0.2857717369997772,MP
correlated_bursts,1000000,106,0.5946936255303259,0.28445649100012815,MP
correlated_bursts,1000000,107,0.5542957108323001,0.2892734110000674,MP
correlated_bursts,1000000,108,0.5332181646081018,0.28732552800011035,MP
correlated_bursts,1000000,109,0.5392267906085864,0.29143396800009214,MP
iid,100000,100,0.0009068855121570074,0.018277943000157393,FIFO-Windowed
iid,100000,101,0.0005165457277375718,0.01789051900004779,FIFO-Windowed
iid,100000,102,0.0006446107472961038,0.017897870000069815,FIFO-Windowed
iid,100000,103,-0.0009935044388198477,0.018159056000058627,FIFO-Windowed
iid,100000,104,-0.0008208664506371144,0.018463257000348676,FIFO-Windowed
iid,100000,105,0.004107071082743552,0.017837150000104884,FIFO-Windowed
iid,100000,106,-5.929982256852595e-05,0.017714408000301773,FIFO-Windowed
iid,100000,107,-0.0018755795707399159,0.017743932000030327,FIFO-Windowed
iid,100000,108,-0.00046415948004785434,0.017859172000044055,FIFO-Windowed
iid,100000,109,0.003500926617864164,0.018212366000170732,FIFO-Windowed
complementary,100000,100,-0.0005986374525887572,0.016280536000067514,FIFO-Windowed
complementary,100000,101,0.001253270627796177,0.015846264000174415,FIFO-Windowed
complementary,100000,102,0.0026383707141715007,0.015910709000308998,FIFO-Windowed
complementary,100000,103,0.0014127556332653723,0.015837650999856123,FIFO-Windowed
complementary,100000,104,0.0003721241487311122,0.01589193100016928,FIFO-Windowed
complementary,100000,105,-0.0008875603989584313,0.016037527000207774,FIFO-Windowed
complementary,100000,106,0.0014160217439077583,0.017540971000016725,FIFO-Windowed
complementary,100000,107,-0.0007913820509701797,0.015933202999804053,FIFO-Windowed
complementary,100000,108,0.0002337193074605226,0.01589784999987387,FIFO-Windowed
complementary,100000,109,0.0006367399669373053,0.01577955499988093,FIFO-Windowed
