workers,n,wall_mean,wall_std,map_mean,reduce_mean,checksum_min,checksum_max
1,3,0.20922395133341823,0.03715452320828252,0.19751911433331767,0.011664020000201433,265611849,265611849
2,3,0.37249308166686507,0.03663887433637685,0.3447358636666043,0.02653595299974157,265611849,265611849
4,3,0.2868412193333824,0.01094663219378589,0.2705966196666243,0.0145506089999495,265611849,265611849
8,3,0.32565600866670746,0.062118978458734514,0.3066864530001112,0.017311728666603132,265611849,265611849
