pattern,n_agents,method_a,method_b,n,mean_a,mean_b,mean_reduction,median_reduction,wins,wilcoxon_stat,p_one_sided
correlated_bursts,10000,MP,FIFO-Windowed,10,1.200952380952381,2.499047619047619,0.5192429792429794,0.5277777777777778,1.0,0.0,0.0009765625
correlated_bursts,10000,FISTA,FIFO-Windowed,10,1.2009523809523808,2.499047619047619,0.5192429792429792,0.5277777777777778,1.0,0.0,0.0009765625
correlated_bursts,10000,IRLS,FIFO-Windowed,10,1.2566666666666666,2.4990476190476185,0.4971464871464872,0.5131670131670132,1.0,0.0,0.0009765625
correlated_bursts,10000,OMP,FIFO-Windowed,10,1.4776190476190478,2.4990476190476185,0.4085352935352936,0.41346153846153844,1.0,0.0,0.0009765625
correlated_bursts,10000,OLS,FIFO-Windowed,10,1.4776190476190476,2.499047619047619,0.4085352935352936,0.41346153846153844,1.0,0.0,0.0009765625
correlated_bursts,10000,Adaptive-SPARSE,FIFO-Windowed,10,1.2009523809523808,2.499047619047619,0.5192429792429791,0.5277777777777778,1.0,0.0,0.0009765625
correlated_bursts,100000,MP,FIFO-Windowed,10,1.2419047619047618,2.4752380952380952,0.4979160479160479,0.5,1.0,0.0,0.0009765625
correlated_bursts,100000,FISTA,FIFO-Windowed,10,1.2485714285714284,2.475238095238095,0.4951382701382701,0.5,1.0,0.0,0.0009765625
correlated_bursts,100000,IRLS,FIFO-Windowed,10,1.3304761904761906,2.475238095238095,0.46211525358584177,0.46502384737678853,1.0,0.0,0.0009765625
correlated_bursts,100000,OMP,FIFO-Windowed,10,1.4595238095238094,2.4752380952380952,0.4106278450396097,0.40858505564387915,1.0,0.0,0.0009765625
correlated_bursts,100000,OLS,FIFO-Windowed,10,1.4595238095238094,2.4752380952380952,0.4106278450396097,0.40858505564387915,1.0,0.0,0.0009765625
correlated_bursts,100000,Adaptive-SPARSE,FIFO-Windowed,10,1.2419047619047618,2.475238095238095,0.49791604791604793,0.5,1.0,0.0,0.0009765625
correlated_bursts,1000000,MP,FIFO-Windowed,10,1.226190476190476,2.4509523809523808,0.49940599940599945,0.5,1.0,0.0,0.0009765625
correlated_bursts,1000000,FISTA,FIFO-Windowed,10,1.2257142857142855,2.4509523809523808,0.49956043956043955,0.5,1.0,0.0,0.0009765625
correlated_bursts,1000000,IRLS,FIFO-Windowed,10,1.2871428571428571,2.4509523809523808,0.4751928851928852,0.4722222222222222,1.0,0.0,0.0009765625
correlated_bursts,1000000,OMP,FIFO-Windowed,10,1.3547619047619048,2.4509523809523808,0.4477936177936178,0.4583011583011583,1.0,0.0,0.0009765625
correlated_bursts,1000000,OLS,FIFO-Windowed,10,1.3547619047619048,2.4509523809523808,0.44779361779361776,0.4583011583011583,1.0,0.0,0.0009765625
correlated_bursts,1000000,Adaptive-SPARSE,FIFO-Windowed,10,1.2261904761904758,2.4509523809523808,0.49940599940599945,0.5,1.0,0.0,0.0009765625
iid,100000,MP,FIFO-Windowed,10,1.226190476190476,1.0,-0.2261904761904762,-0.19999999999999996,0.0,55.0,1.0
iid,100000,FISTA,FIFO-Windowed,10,1.226190476190476,1.0,-0.2261904761904762,-0.19999999999999996,0.0,55.0,1.0
iid,100000,IRLS,FIFO-Windowed,10,1.267142857142857,1.0,-0.2671428571428572,-0.2404761904761904,0.0,55.0,1.0
iid,100000,OMP,FIFO-Windowed,10,1.2866666666666666,1.0,-0.2866666666666667,-0.2761904761904762,0.0,55.0,1.0
iid,100000,OLS,FIFO-Windowed,10,1.2866666666666666,1.0,-0.2866666666666666,-0.2761904761904762,0.0,55.0,1.0
iid,100000,Adaptive-SPARSE,FIFO-Windowed,10,1.0,1.0,0.0,0.0,0.0,0.0,1.0
complementary,100000,MP,FIFO-Windowed,10,1.2626007326007327,1.0076923076923077,-0.2538095238095238,-0.2142857142857142,0.0,55.0,1.0
complementary,100000,FISTA,FIFO-Windowed,10,1.2626007326007325,1.0076923076923077,-0.2538095238095238,-0.2142857142857142,0.0,55.0,1.0
complementary,100000,IRLS,FIFO-Windowed,10,1.306007326007326,1.0076923076923077,-0.2966666666666667,-0.2857142857142858,0.0,55.0,1.0
complementary,100000,OMP,FIFO-Windowed,10,1.33989010989011,1.0076923076923077,-0.32999999999999996,-0.34523809523809523,0.0,55.0,1.0
complementary,100000,OLS,FIFO-Windowed,10,1.3398901098901101,1.0076923076923077,-0.33,-0.34523809523809523,0.0,55.0,1.0
complementary,100000,Adaptive-SPARSE,FIFO-Windowed,10,1.0076923076923077,1.0076923076923077,0.0,0.0,0.0,0.0,1.0
