method,n_agents,n_resources,makespan,lower_bound,normalized_makespan,scheduler_time_s,wall_time_s,dispatches,mean_utilization,min_utilization,p95_utilization,completed,valid,pattern,seed,unique_fraction,source_file,diagnostic_calls,diagnostic_selected_agents,diagnostic_scanned_agents,diagnostic_feasible_agents,diagnostic_candidate_map_time_s,diagnostic_candidate_reduce_time_s,diagnostic_solver_time_s,diagnostic_packing_time_s,diagnostic_empty_calls,diagnostic_simulation_mode,diagnostic_waves,diagnostic_utilization_by_resource,gate_score,gate_decision
MP,1000000,4,18.0,15.0,1.2,8.240224853999734,8.634536228999877,33,0.7398208519229801,0.6786760681529266,0.7851561609516391,1000000,True,correlated_bursts,106,1.0,correlated_bursts_1000000_106_mp.csv,51.0,1000000.0,21486509.0,11905325.0,2.1080350939996606,0.197587882999187,0.076255017999756,5.569941388999951,18.0,waves,18.0,"0.67867607,0.72682551,0.78869841,0.76508342",,
OMP,100000,4,21.0,15.0,1.4,1.1637547679983982,1.2005426289997558,30,0.6061088597577526,0.5626015697978035,0.6659611968525705,100000,True,correlated_bursts,108,1.0,correlated_bursts_100000_108_omp.csv,51.0,100000.0,2266675.0,1149711.0,0.2031587799992849,0.0213013899992802,0.0202446030002647,0.894129700999656,21.0,waves,21.0,"0.56323700,0.56260157,0.62549449,0.67310238",,
OLS,10000,4,22.0,14.0,1.5714285714285714,1.0020910070015816,1.0085954159999346,23,0.5884605817619598,0.5501763971061417,0.6251630841910478,10000,True,correlated_bursts,102,1.0,correlated_bursts_10000_102_ols.csv,45.0,10000.0,207372.0,107094.0,0.0234571180021703,0.0033610480018069,0.7808770820020072,0.1899851680004758,22.0,waves,22.0,"0.62997731,0.57580616,0.59788246,0.55017640",,
FISTA,1000000,4,19.0,15.0,1.2666666666666666,11.80196870800046,12.211890468000092,35,0.6700896768638294,0.6206151866058969,0.7365904375690274,1000000,True,correlated_bursts,108,1.0,correlated_bursts_1000000_108_fista.csv,54.0,1000000.0,24965696.0,13296023.0,2.474093025999764,0.2419367640009113,1.750358623000011,6.94586452200042,19.0,waves,19.0,"0.62061519,0.62216267,0.69336184,0.74421901",,
IRLS,100000,4,17.0,13.0,1.3076923076923077,1.2423717690003286,1.2794855439997264,27,0.7380994024533851,0.7150104660534858,0.7624312548637273,100000,True,complementary,103,1.0,complementary_100000_103_irls.csv,44.0,100000.0,2050973.0,1036282.0,0.2140003070003331,0.0199819199997364,0.0566901820006933,0.9251259159996152,17.0,waves,17.0,"0.75087150,0.71501047,0.72204444,0.76447121",,
IRLS,100000,4,19.0,14.0,1.3571428571428572,1.2580444740005987,1.317821838999862,26,0.682521753217923,0.6399517429560109,0.7255389482519753,100000,True,iid,102,1.0,iid_100000_102_irls.csv,45.0,100000.0,2115625.0,1091082.0,0.2987575189986273,0.020528522999939,0.0960773169995263,0.8144798819998869,19.0,waves,19.0,"0.72989947,0.65940647,0.70082933,0.63995174",,
MP,1000000,4,18.0,15.0,1.2,13.345312339000202,13.86168759899988,33,0.7239362253217995,0.6292734204602329,0.8099392804951236,1000000,True,correlated_bursts,100,1.0,correlated_bursts_1000000_100_mp.csv,51.0,1000000.0,22371478.0,12638940.0,4.767523928999935,0.4543158509995919,0.2554428670002835,7.3693309550003505,18.0,waves,18.0,"0.82385886,0.71155096,0.62927342,0.73106166",,
OMP,10000,4,20.0,14.0,1.4285714285714286,0.2044712449974213,0.2092776019999291,20,0.6537488087632258,0.5967322451734542,0.6946555340389013,10000,True,correlated_bursts,109,1.0,correlated_bursts_10000_109_omp.csv,40.0,10000.0,187932.0,98966.0,0.0207724040010361,0.0030007210002622,0.007844422000744,0.169169611000143,20.0,waves,20.0,"0.68552074,0.59673225,0.63647469,0.69626756",,
MP,100000,4,18.0,15.0,1.2,1.0214266330003738,1.0576181920000636,24,0.732656245516064,0.6848097799663632,0.7769026243232929,100000,True,complementary,106,1.0,complementary_100000_106_mp.csv,42.0,100000.0,1892626.0,1041112.0,0.1762329420025707,0.02019972899825,0.0145879399997284,0.7849618939999345,18.0,waves,18.0,"0.68480978,0.73644439,0.78404231,0.72532850",,
FISTA,100000,4,18.0,15.0,1.2,1.440318067001499,1.4796678529996825,26,0.7402433121096977,0.6750775781057499,0.7841322597581192,100000,True,iid,106,1.0,iid_100000_106_fista.csv,44.0,100000.0,1979755.0,1092950.0,0.2340214530017874,0.0210802209994653,0.221790269999019,0.934362469000007,18.0,waves,18.0,"0.67507758,0.72753343,0.78625418,0.77210806",,
FISTA,1000000,4,16.0,14.0,1.1428571428571428,10.447156549000283,10.834661174000075,33,0.7931107771888871,0.7370577660141786,0.8251655342614005,1000000,True,correlated_bursts,103,1.0,correlated_bursts_1000000_103_fista.csv,49.0,1000000.0,20930179.0,11682830.0,2.044835303000127,0.2275092870013395,2.033964826998954,5.854915433000087,16.0,waves,16.0,"0.82660417,0.73705777,0.79176790,0.81701327",,
OMP,1000000,4,21.0,14.0,1.5,9.44655150899962,9.84814432500002,35,0.6173518996369555,0.5790066843122831,0.6552598121718448,1000000,True,correlated_bursts,102,1.0,correlated_bursts_1000000_102_omp.csv,56.0,1000000.0,21056840.0,12513551.0,2.2432639899996047,0.230690540999376,0.0894350209996446,6.562162410000155,21.0,waves,21.0,"0.65867527,0.59582008,0.63590557,0.57900668",,
MP,1000000,4,19.0,15.0,1.2666666666666666,9.284557392000352,9.67944026400005,36,0.6700896768638294,0.6206151866058969,0.7365904375690274,1000000,True,correlated_bursts,108,1.0,correlated_bursts_1000000_108_mp.csv,55.0,1000000.0,25078482.0,13278186.0,2.3145177720004995,0.2095118510010252,0.0832195529999353,6.378882838999971,19.0,waves,19.0,"0.62061519,0.62216267,0.69336184,0.74421901",,
FIFO-Windowed,100000,4,35.0,15.0,2.333333333333333,0.0037870950000069,0.0037870950000069,35,,,,100000,True,correlated_bursts,108,1.0,correlated_bursts_100000_108_baseline.csv,,,,,,,,,,,,,,
Kahn-FIFO,100000,4,35.0,15.0,2.333333333333333,0.0037870950000069,0.0037870950000069,35,,,,100000,True,correlated_bursts,108,1.0,correlated_bursts_100000_108_baseline.csv,,,,,,,,,,,,,,
LangChain-FCFS-policy,100000,4,35.0,15.0,2.333333333333333,0.0037870950000069,0.0037870950000069,35,,,,100000,True,correlated_bursts,108,1.0,correlated_bursts_100000_108_baseline.csv,,,,,,,,,,,,,,
LangGraph-FCFS-policy,100000,4,35.0,15.0,2.333333333333333,0.0037870950000069,0.0037870950000069,35,,,,100000,True,correlated_bursts,108,1.0,correlated_bursts_100000_108_baseline.csv,,,,,,,,,,,,,,
FIFO-Strict,100000,4,35.0,15.0,2.333333333333333,0.0004380880000098,0.0004380880000098,35,,,,100000,True,correlated_bursts,108,1.0,correlated_bursts_100000_108_baseline.csv,,,,,,,,,,,,,,
FISTA,100000,4,19.0,15.0,1.2666666666666666,1.4575840260004045,1.4961006560001806,27,0.6575754511920506,0.6015673887523851,0.7636132053268374,100000,True,correlated_bursts,107,1.0,correlated_bursts_100000_107_fista.csv,46.0,100000.0,2099271.0,1123660.0,0.2404898389991103,0.0210621359997276,0.2547324590000244,0.8907380930004365,19.0,waves,19.0,"0.60156739,0.78618494,0.63570673,0.60684275",,
OLS,100000,4,20.0,15.0,1.3333333333333333,3.096391309001774,3.140262428999904,27,0.6246966786324482,0.5714890193147659,0.7254325450604955,100000,True,correlated_bursts,107,1.0,correlated_bursts_100000_107_ols.csv,47.0,100000.0,2096323.0,1135755.0,0.1941704219984785,0.0215631969995229,1.9493891909987724,0.9042595259998052,20.0,waves,20.0,"0.57148902,0.74687569,0.60392139,0.57650061",,
FIFO-Windowed,10000,4,39.0,15.0,2.6,0.0004657590002352,0.0004657590002352,39,,,,10000,True,correlated_bursts,106,1.0,correlated_bursts_10000_106_baseline.csv,,,,,,,,,,,,,,
Kahn-FIFO,10000,4,39.0,15.0,2.6,0.0004657590002352,0.0004657590002352,39,,,,10000,True,correlated_bursts,106,1.0,correlated_bursts_10000_106_baseline.csv,,,,,,,,,,,,,,
LangChain-FCFS-policy,10000,4,39.0,15.0,2.6,0.0004657590002352,0.0004657590002352,39,,,,10000,True,correlated_bursts,106,1.0,correlated_bursts_10000_106_baseline.csv,,,,,,,,,,,,,,
LangGraph-FCFS-policy,10000,4,39.0,15.0,2.6,0.0004657590002352,0.0004657590002352,39,,,,10000,True,correlated_bursts,106,1.0,correlated_bursts_10000_106_baseline.csv,,,,,,,,,,,,,,
FIFO-Strict,10000,4,39.0,15.0,2.6,4.5667999984289054e-05,4.5667999984289054e-05,39,,,,10000,True,correlated_bursts,106,1.0,correlated_bursts_10000_106_baseline.csv,,,,,,,,,,,,,,
MP,100000,4,18.0,15.0,1.2,1.0504639310011044,1.0900844040002085,25,0.6936374138210879,0.6346054571227674,0.8048403851589097,100000,True,iid,107,1.0,iid_100000_107_mp.csv,43.0,100000.0,2070648.0,1090092.0,0.1889622280009462,0.0208085270010087,0.0160131790003106,0.7991610350004521,18.0,waves,18.0,"0.63460546,0.82922860,0.66664051,0.64407509",,
