method,n_agents,n_resources,makespan,lower_bound,normalized_makespan,scheduler_time_s,wall_time_s,dispatches,mean_utilization,min_utilization,p95_utilization,completed,valid,pattern,seed,unique_fraction,source_file,diagnostic_calls,diagnostic_selected_agents,diagnostic_scanned_agents,diagnostic_feasible_agents,diagnostic_candidate_map_time_s,diagnostic_candidate_reduce_time_s,diagnostic_solver_time_s,diagnostic_packing_time_s,diagnostic_empty_calls,diagnostic_simulation_mode,diagnostic_waves,diagnostic_utilization_by_resource,gate_score,gate_decision
Adaptive-SPARSE,100000,4,18.0,14.0,1.2857142857142858,1.1258244099999504,1.1279204580000624,27,0.735082591325431,0.6807762428696067,0.7725583812924159,100000,True,correlated_bursts,101,1.0,correlated_bursts_100000_101_mp.csv,45.0,100000.0,2069338.0,1077825.0,0.1918945950001216,0.0206410329988102,0.0154464429983818,0.8361738980015616,18.0,waves,18.0,"0.74438681,0.77752984,0.68077624,0.73763748",0.5403039604603797,MP
Adaptive-SPARSE,100000,4,19.0,14.0,1.3571428571428572,1.1621574960004182,1.1610322909996285,26,0.6820860380061049,0.6390976835085216,0.7238825233978012,100000,True,correlated_bursts,102,1.0,correlated_bursts_100000_102_mp.csv,45.0,100000.0,2014143.0,1111940.0,0.1914786850002201,0.0209020579995922,0.0157437389998449,0.8702934799998729,19.0,waves,19.0,"0.72797222,0.66056666,0.70070759,0.63909768",0.5445339334816524,MP
Adaptive-SPARSE,100000,4,17.0,14.0,1.2142857142857142,1.001879276001091,1.0012884110001323,24,0.7463578158124988,0.6913020830715871,0.7793400989645486,100000,True,correlated_bursts,103,1.0,correlated_bursts_100000_103_mp.csv,41.0,100000.0,1830892.0,1016988.0,0.1720613450011114,0.0191397470011907,0.0139646520001406,0.7380350579996957,17.0,waves,17.0,"0.78125565,0.69130208,0.74438823,0.76848530",0.5440123074055296,MP
Adaptive-SPARSE,100000,4,18.0,15.0,1.2,1.069551563999994,1.0727613799999745,26,0.7245953990182612,0.66072888385393,0.8014776745685737,100000,True,correlated_bursts,104,1.0,correlated_bursts_100000_104_mp.csv,44.0,100000.0,1964037.0,1049590.0,0.1829053239989662,0.0200934330023301,0.0156645639995076,0.7900118290003775,18.0,waves,18.0,"0.66072888,0.80772559,0.76607280,0.66385432",0.5341224100269537,MP
Adaptive-SPARSE,100000,4,20.0,14.0,1.4285714285714286,1.0805193449996295,1.0827628379997805,25,0.6539282756003935,0.6222371776361465,0.689552393283995,100000,True,correlated_bursts,105,1.0,correlated_bursts_100000_105_mp.csv,45.0,100000.0,2040673.0,1098058.0,0.1875086119985098,0.0200912440004685,0.0148406450011862,0.8004591349999828,20.0,waves,20.0,"0.65197907,0.62223718,0.64531388,0.69618298",0.5532653841929914,MP
Adaptive-SPARSE,100000,4,17.0,15.0,1.1333333333333333,1.0517752770010704,1.055211680999946,23,0.7830294520286369,0.7181893135445259,0.8352041563587236,100000,True,correlated_bursts,106,1.0,correlated_bursts_100000_106_mp.csv,40.0,100000.0,1900014.0,1035665.0,0.1814627210001163,0.0193674459997055,0.0161901299998135,0.7690331549997609,17.0,waves,17.0,"0.71818931,0.76732826,0.84030589,0.80629434",0.5950097423262528,MP
Adaptive-SPARSE,100000,4,18.0,15.0,1.2,1.1007849889988393,1.1033326530000522,24,0.6941074207027201,0.6349877992386288,0.8060361611783283,100000,True,correlated_bursts,107,1.0,correlated_bursts_100000_107_mp.csv,42.0,100000.0,2006362.0,1091478.0,0.190219226001318,0.0202474550010265,0.0148069930000929,0.8152052130008087,18.0,waves,18.0,"0.63498780,0.82986188,0.67102377,0.64055624",0.5533337381268806,MP
Adaptive-SPARSE,100000,4,19.0,15.0,1.2666666666666666,1.2128490790018986,1.2142031770003996,28,0.6699097923638319,0.6218227876712565,0.7360623754686305,100000,True,correlated_bursts,108,1.0,correlated_bursts_100000_108_mp.csv,47.0,100000.0,2253076.0,1182629.0,0.1993463059993701,0.0218172200020489,0.0162290680004844,0.9146292370014636,19.0,waves,19.0,"0.62252511,0.62182279,0.69133601,0.74395526",0.5339202363834145,MP
Adaptive-SPARSE,100000,4,17.0,15.0,1.1333333333333333,1.035980558997835,1.037646739000138,24,0.7678608770414428,0.6960465891864253,0.8203553733978458,100000,True,correlated_bursts,109,1.0,correlated_bursts_100000_109_mp.csv,41.0,100000.0,1889250.0,1044132.0,0.1760039060000053,0.0193225269995309,0.0142106659986893,0.7686589659983838,17.0,waves,17.0,"0.80008803,0.69604659,0.75137692,0.82393196",0.5403041367157089,MP
Adaptive-SPARSE,1000000,4,18.0,15.0,1.2,13.909045936000211,13.86168759899988,33,0.7239362253217995,0.6292734204602329,0.8099392804951236,1000000,True,correlated_bursts,100,1.0,correlated_bursts_1000000_100_mp.csv,51.0,1000000.0,22371478.0,12638940.0,4.767523928999935,0.4543158509995919,0.2554428670002835,7.3693309550003505,18.0,waves,18.0,"0.82385886,0.71155096,0.62927342,0.73106166",0.5264796122324952,MP
Adaptive-SPARSE,1000000,4,17.0,15.0,1.1333333333333333,8.68122063899932,8.744252891000087,32,0.7785473673712786,0.7216200482718477,0.8194155297867726,1000000,True,correlated_bursts,101,1.0,correlated_bursts_1000000_101_mp.csv,49.0,1000000.0,21307449.0,12027602.0,2.1212466329991457,0.2073952550003923,0.0748385550007242,5.635631077000426,17.0,waves,17.0,"0.78788706,0.82497938,0.72162005,0.77970298",0.541375351047935,MP
Adaptive-SPARSE,1000000,4,19.0,14.0,1.3571428571428572,9.382703157000378,9.48543556200002,34,0.6823363101250561,0.639954756345155,0.7242345292425654,1000000,True,correlated_bursts,102,1.0,correlated_bursts_1000000_102_mp.csv,53.0,1000000.0,22324917.0,12849586.0,2.1960663190006926,0.2276449289988704,0.0775427869998566,6.29314444099964,19.0,waves,19.0,"0.72800950,0.65853798,0.70284300,0.63995476",0.5440773611181351,MP
Adaptive-SPARSE,1000000,4,17.0,14.0,1.2142857142857142,8.983986668999478,9.099166191999984,33,0.746457202060129,0.693701426836874,0.7766263851872004,1000000,True,correlated_bursts,103,1.0,correlated_bursts_1000000_103_mp.csv,50.0,1000000.0,20952970.0,11818140.0,2.0754175100025805,0.2171291159997963,0.0995913109995854,5.991426025000919,17.0,waves,17.0,"0.77798039,0.69370143,0.74519332,0.76895367",0.5419837209024435,MP
Adaptive-SPARSE,1000000,4,18.0,15.0,1.2,8.997977869000806,9.162598214999887,33,0.7249440784610831,0.6590872554205789,0.8039003480505639,1000000,True,correlated_bursts,104,1.0,correlated_bursts_1000000_104_mp.csv,51.0,1000000.0,21075520.0,12127245.0,2.167673450999473,0.2150535910004691,0.0748724669999774,5.951674543999616,18.0,waves,18.0,"0.65908726,0.81048456,0.76658979,0.66361471",0.5348077020297903,MP
Adaptive-SPARSE,1000000,4,19.0,14.0,1.3571428571428572,9.76284671100052,9.872059386000046,35,0.6875983758072666,0.6530899435995838,0.724241670388115,1000000,True,correlated_bursts,105,1.0,correlated_bursts_1000000_105_mp.csv,54.0,1000000.0,22437806.0,13002581.0,2.24120385899937,0.2369278829996801,0.099311849999367,6.606289645000061,19.0,waves,19.0,"0.68840404,0.65308994,0.67833356,0.73056596",0.5526700039668114,MP
Adaptive-SPARSE,1000000,4,18.0,15.0,1.2,8.524681344999863,8.634536228999877,33,0.7398208519229801,0.6786760681529266,0.7851561609516391,1000000,True,correlated_bursts,106,1.0,correlated_bursts_1000000_106_mp.csv,51.0,1000000.0,21486509.0,11905325.0,2.1080350939996606,0.197587882999187,0.076255017999756,5.569941388999951,18.0,waves,18.0,"0.67867607,0.72682551,0.78869841,0.76508342",0.5946936255303259,MP
Adaptive-SPARSE,1000000,4,18.0,15.0,1.2,8.199479971000073,8.377785454000104,30,0.6939343907496742,0.6349929486260943,0.8054343914101706,1000000,True,correlated_bursts,107,1.0,correlated_bursts_1000000_107_mp.csv,48.0,1000000.0,20840009.0,11662190.0,2.054270567000003,0.1998986099997637,0.0699998050001795,5.301728551000224,18.0,waves,18.0,"0.63499295,0.82933463,0.66999969,0.64141029",0.5542957108323001,MP
Adaptive-SPARSE,1000000,4,19.0,15.0,1.2666666666666666,9.571882920000462,9.67944026400005,36,0.6700896768638294,0.6206151866058969,0.7365904375690274,1000000,True,correlated_bursts,108,1.0,correlated_bursts_1000000_108_mp.csv,55.0,1000000.0,25078482.0,13278186.0,2.3145177720004995,0.2095118510010252,0.0832195529999353,6.378882838999971,19.0,waves,19.0,"0.62061519,0.62216267,0.69336184,0.74421901",0.5332181646081018,MP
