pattern,n_agents,method,n,norm_mean,norm_std,time_mean,time_std,makespan_mean,makespan_std,lb_mean,valid_rate,unique_fraction
complementary,100000,FIFO-Strict,10,1.0076923076923077,0.02432521277052593,0.00042756570001069,6.672576466775679e-06,14.2,0.42163702135578385,14.1,1.0,1.0
complementary,100000,FIFO-Windowed,10,1.0076923076923077,0.02432521277052593,0.00163273040006965,0.0001435291895218034,14.2,0.42163702135578385,14.1,1.0,1.0
complementary,100000,FISTA,10,1.2626007326007325,0.07550181278281187,1.3760115481000412,0.08956783146272754,17.8,1.2292725943057183,14.1,1.0,1.0
complementary,100000,IRLS,10,1.306007326007326,0.08517902648052425,1.3122615115998086,0.11407513946694617,18.4,1.1737877907772667,14.1,1.0,1.0
complementary,100000,Kahn-FIFO,10,1.0076923076923077,0.02432521277052593,0.00163273040006965,0.0001435291895218034,14.2,0.42163702135578385,14.1,1.0,1.0
complementary,100000,LangChain-FCFS-policy,10,1.0076923076923077,0.02432521277052593,0.00163273040006965,0.0001435291895218034,14.2,0.42163702135578385,14.1,1.0,1.0
complementary,100000,LangGraph-FCFS-policy,10,1.0076923076923077,0.02432521277052593,0.00163273040006965,0.0001435291895218034,14.2,0.42163702135578385,14.1,1.0,1.0
complementary,100000,MP,10,1.2626007326007325,0.07550181278281187,1.0152060892000463,0.06827440813454941,17.8,1.2292725943057183,14.1,1.0,1.0
complementary,100000,OLS,10,1.33989010989011,0.0825704637318039,2.742908078799883,0.13377282054992573,18.9,1.5238839267549948,14.1,1.0,1.0
complementary,100000,OMP,10,1.33989010989011,0.08257046373180398,1.0218040121997547,0.10274902725799202,18.9,1.5238839267549944,14.1,1.0,1.0
correlated_bursts,10000,FIFO-Strict,10,2.505714285714286,0.10774492801859141,4.4993500114287596e-05,3.492346920666624e-07,36.3,1.2516655570345725,14.5,1.0,1.0
correlated_bursts,10000,FIFO-Windowed,10,2.499047619047619,0.11239171323245231,0.00039727999997008005,2.8215851294656296e-05,36.2,1.229272594305718,14.5,1.0,1.0
correlated_bursts,10000,FISTA,10,1.200952380952381,0.09914728400426324,0.2252844698999979,0.013332187463104399,17.4,1.3498971154211061,14.5,1.0,1.0
correlated_bursts,10000,IRLS,10,1.2566666666666666,0.1133437814756229,0.21028352490029648,0.011896153218634912,18.2,1.4757295747452437,14.5,1.0,1.0
correlated_bursts,10000,Kahn-FIFO,10,2.499047619047619,0.11239171323245231,0.00039727999997008005,2.8215851294656296e-05,36.2,1.229272594305718,14.5,1.0,1.0
correlated_bursts,10000,LangChain-FCFS-policy,10,2.499047619047619,0.11239171323245231,0.00039727999997008005,2.8215851294656296e-05,36.2,1.229272594305718,14.5,1.0,1.0
correlated_bursts,10000,LangGraph-FCFS-policy,10,2.499047619047619,0.11239171323245231,0.00039727999997008005,2.8215851294656296e-05,36.2,1.229272594305718,14.5,1.0,1.0
correlated_bursts,10000,MP,10,1.200952380952381,0.09914728400426322,0.19181373199990046,0.01002410510332052,17.4,1.349897115421106,14.5,1.0,1.0
correlated_bursts,10000,OLS,10,1.4776190476190476,0.10186099045101311,1.0044899422004163,0.07859798433229898,21.4,1.264911064067352,14.5,1.0,1.0
correlated_bursts,10000,OMP,10,1.4776190476190476,0.10186099045101316,0.23304844050026072,0.01832230598412634,21.4,1.2649110640673524,14.5,1.0,1.0
correlated_bursts,100000,FIFO-Strict,10,2.4752380952380952,0.12824375253987116,0.00046556110000889,4.373851156730786e-05,36.1,1.4491376746189437,14.6,1.0,1.0
correlated_bursts,100000,FIFO-Windowed,10,2.4752380952380952,0.12824375253987116,0.00379829849994162,0.0001856738765453107,36.1,1.4491376746189437,14.6,1.0,1.0
correlated_bursts,100000,FISTA,10,1.2485714285714287,0.09349731841754808,1.3950835353998627,0.07468882668755966,18.2,1.0327955589886448,14.6,1.0,1.0
correlated_bursts,100000,IRLS,10,1.3304761904761904,0.07138270132091531,1.3502063022998754,0.07245272447229606,19.4,0.6992058987801011,14.6,1.0,1.0
correlated_bursts,100000,Kahn-FIFO,10,2.4752380952380952,0.12824375253987116,0.00379829849994162,0.0001856738765453107,36.1,1.4491376746189437,14.6,1.0,1.0
correlated_bursts,100000,LangChain-FCFS-policy,10,2.4752380952380952,0.12824375253987116,0.00379829849994162,0.0001856738765453107,36.1,1.4491376746189437,14.6,1.0,1.0
correlated_bursts,100000,LangGraph-FCFS-policy,10,2.4752380952380952,0.12824375253987116,0.00379829849994162,0.0001856738765453107,36.1,1.4491376746189437,14.6,1.0,1.0
correlated_bursts,100000,MP,10,1.2419047619047618,0.09443577391172203,1.0657231001001946,0.06622807829307555,18.1,0.9944289260117531,14.6,1.0,1.0
correlated_bursts,100000,OLS,10,1.4595238095238094,0.1656317072117004,3.003764377700327,0.24159672743515306,21.3,2.4966644414765335,14.6,1.0,1.0
correlated_bursts,100000,OMP,10,1.4595238095238094,0.16563170721170042,1.1389879188999656,0.1061075073806141,21.3,2.4966644414765344,14.6,1.0,1.0
correlated_bursts,1000000,FIFO-Strict,10,2.4509523809523808,0.11095340281565007,0.0051677224999820606,0.002503215972030075,36.0,1.333333333333334,14.7,1.0,1.0
correlated_bursts,1000000,FIFO-Windowed,10,2.4509523809523808,0.11095340281565007,0.040717047600037345,0.027495843013661238,36.0,1.333333333333334,14.7,1.0,1.0
correlated_bursts,1000000,FISTA,10,1.2257142857142855,0.07812362369661985,10.944063099400159,0.9040875877943616,18.0,0.9428090415820632,14.7,1.0,1.0
correlated_bursts,1000000,IRLS,10,1.287142857142857,0.1005414918567556,9.553079638600071,0.8828423062362551,18.9,1.286683937707919,14.7,1.0,1.0
correlated_bursts,1000000,Kahn-FIFO,10,2.4509523809523808,0.11095340281565007,0.040717047600037345,0.027495843013661238,36.0,1.333333333333334,14.7,1.0,1.0
correlated_bursts,1000000,LangChain-FCFS-policy,10,2.4509523809523808,0.11095340281565007,0.040717047600037345,0.027495843013661238,36.0,1.333333333333334,14.7,1.0,1.0
correlated_bursts,1000000,LangGraph-FCFS-policy,10,2.4509523809523808,0.11095340281565007,0.040717047600037345,0.027495843013661238,36.0,1.333333333333334,14.7,1.0,1.0
correlated_bursts,1000000,MP,10,1.226190476190476,0.07892736438382107,9.266062604500188,1.533876972090303,18.0,0.816496580927726,14.7,1.0,1.0
correlated_bursts,1000000,OLS,10,1.3547619047619048,0.14310824492559496,14.012729398200372,2.5333245481782733,19.9,2.078995483935023,14.7,1.0,1.0
correlated_bursts,1000000,OMP,10,1.3547619047619048,0.14310824492559496,9.570895768899982,1.7644061196432912,19.9,2.078995483935024,14.7,1.0,1.0
iid,100000,FIFO-Strict,10,1.0,0.0,0.00043862430006806,2.5435849899818975e-05,14.7,0.4830458915396482,14.7,1.0,1.0
iid,100000,FIFO-Windowed,10,1.0,0.0,0.0016583987000558,0.00010804411529773403,14.7,0.4830458915396482,14.7,1.0,1.0
iid,100000,FISTA,10,1.226190476190476,0.09813709488666432,1.38265558790049,0.07840769912279158,18.0,1.1547005383792512,14.7,1.0,1.0
iid,100000,IRLS,10,1.2671428571428571,0.10589692978537786,1.3097726602004514,0.08837029714206326,18.6,1.2649110640673518,14.7,1.0,1.0
iid,100000,Kahn-FIFO,10,1.0,0.0,0.0016583987000558,0.00010804411529773403,14.7,0.4830458915396482,14.7,1.0,1.0
iid,100000,LangChain-FCFS-policy,10,1.0,0.0,0.0016583987000558,0.00010804411529773403,14.7,0.4830458915396482,14.7,1.0,1.0
iid,100000,LangGraph-FCFS-policy,10,1.0,0.0,0.0016583987000558,0.00010804411529773403,14.7,0.4830458915396482,14.7,1.0,1.0
iid,100000,MP,10,1.226190476190476,0.09813709488666437,1.0092437756007713,0.05406916053921442,18.0,1.1547005383792521,14.7,1.0,1.0
iid,100000,OLS,10,1.2866666666666666,0.09652046702278115,2.7510199888001354,0.12664977568473607,18.9,1.370320319406298,14.7,1.0,1.0
iid,100000,OMP,10,1.2866666666666666,0.09652046702278123,1.023935080100364,0.05427547390821992,18.9,1.370320319406297,14.7,1.0,1.0
