pattern,seed,method,optimal_waves,waves,ratio,exact,scheduler_time_s,wall_s,valid
correlated_bursts,208,MP,3,3.0,1.0,1,0.0010114470001099,0.0014164260001052,True
correlated_bursts,208,OMP,3,3.0,1.0,1,0.0011919249996026,0.0016013399999792,True
correlated_bursts,208,OLS,3,3.0,1.0,1,0.0031286900002669,0.0035496030000103,True
correlated_bursts,208,FISTA,3,3.0,1.0,1,0.0039214339999489,0.0043116820002069,True
correlated_bursts,208,IRLS,3,3.0,1.0,1,0.0019546629996511,0.0023394619997816,True
correlated_bursts,208,FIFO-Windowed,3,3.0,1.0,1,0.0002308630000698,0.0005534690003514,True
correlated_bursts,208,Kahn-FIFO,3,3.0,1.0,1,0.0002282569994349,0.0005405000001701,True
correlated_bursts,209,MP,2,2.0,1.0,1,0.0007260730003508,0.0010869279999496,True
correlated_bursts,209,OMP,2,2.0,1.0,1,0.0008349169997927,0.001136432000294,True
correlated_bursts,209,OLS,2,2.0,1.0,1,0.0025671590001365,0.0028787300002477,True
correlated_bursts,209,FISTA,2,2.0,1.0,1,0.0025759119998838,0.0028874029999315,True
correlated_bursts,209,IRLS,2,2.0,1.0,1,0.0012385129998619,0.0015317570000661,True
correlated_bursts,209,FIFO-Windowed,2,3.0,1.5,0,0.0001981359996534,0.0005302849999679,True
correlated_bursts,209,Kahn-FIFO,2,3.0,1.5,0,0.0001920349995998,0.000502654000229,True
correlated_bursts,210,MP,3,3.0,1.0,1,0.0010712370003602,0.0014869300002828,True
correlated_bursts,210,OMP,3,3.0,1.0,1,0.0011535170001479,0.0015261280000231,True
correlated_bursts,210,OLS,3,3.0,1.0,1,0.0030425730001297,0.0034503469996707,True
correlated_bursts,210,FISTA,3,3.0,1.0,1,0.0029889240004195,0.0033585199998924,True
correlated_bursts,210,IRLS,3,3.0,1.0,1,0.0015792269996381,0.0019334720000188,True
correlated_bursts,210,FIFO-Windowed,3,3.0,1.0,1,0.0002175630006604,0.0005600489998869,True
correlated_bursts,210,Kahn-FIFO,3,3.0,1.0,1,0.0002191859998674,0.0006246839998311,True
correlated_bursts,211,MP,3,4.0,1.3333333333333333,0,0.0012991730000067,0.0017730849999679,True
correlated_bursts,211,OMP,3,4.0,1.3333333333333333,0,0.0014946209998925,0.0019174479998582,True
correlated_bursts,211,OLS,3,4.0,1.3333333333333333,0,0.0041141699989566,0.0046239040002546,True
correlated_bursts,211,FISTA,3,4.0,1.3333333333333333,0,0.0041563530007806,0.0046300330000121,True
correlated_bursts,211,IRLS,3,4.0,1.3333333333333333,0,0.0020629229998121,0.0024870110000847,True
correlated_bursts,211,FIFO-Windowed,3,4.0,1.3333333333333333,0,0.0002719009989959,0.0006859949999125,True
correlated_bursts,211,Kahn-FIFO,3,4.0,1.3333333333333333,0,0.000219775000005,0.0005957509997642,True
correlated_bursts,212,MP,3,3.0,1.0,1,0.0010321969994038,0.001439811000182,True
correlated_bursts,212,OMP,3,3.0,1.0,1,0.0011285919999863,0.001498838000316,True
correlated_bursts,212,OLS,3,3.0,1.0,1,0.0031626729996787,0.0035369249999348,True
correlated_bursts,212,FISTA,3,3.0,1.0,1,0.0037319819998629,0.0041015599999809,True
correlated_bursts,212,IRLS,3,3.0,1.0,1,0.001828395999837,0.0022266750002017,True
correlated_bursts,212,FIFO-Windowed,3,3.0,1.0,1,0.0001929259992721,0.0005199689999244,True
correlated_bursts,212,Kahn-FIFO,3,3.0,1.0,1,0.0001838339994719,0.0004944109996358,True
correlated_bursts,213,MP,3,3.0,1.0,1,0.000998375999643,0.0014132219998828,True
correlated_bursts,213,OMP,3,3.0,1.0,1,0.0011398560004636,0.0015071010002429,True
correlated_bursts,213,OLS,3,3.0,1.0,1,0.0028835870002694,0.0032586229999651,True
correlated_bursts,213,FISTA,3,3.0,1.0,1,0.0027207670000279,0.0031554510001114,True
correlated_bursts,213,IRLS,3,3.0,1.0,1,0.0015458959996976,0.0019149339996147,True
correlated_bursts,213,FIFO-Windowed,3,3.0,1.0,1,0.0002016389994423,0.0005300139996506,True
correlated_bursts,213,Kahn-FIFO,3,3.0,1.0,1,0.0001902309995784,0.0004973559998688,True
correlated_bursts,214,MP,2,3.0,1.5,0,0.0010341910001443,0.0014894639998601,True
correlated_bursts,214,OMP,2,3.0,1.5,0,0.0012474970008042,0.0016238939997492,True
correlated_bursts,214,OLS,2,3.0,1.5,0,0.0034699349998845,0.0038464929998554,True
correlated_bursts,214,FISTA,2,3.0,1.5,0,0.0037974699998812,0.0042131260001951,True
correlated_bursts,214,IRLS,2,3.0,1.5,0,0.0019712479993359,0.002339552000194,True
correlated_bursts,214,FIFO-Windowed,2,3.0,1.5,0,0.0002541750004638,0.0005967130000499,True
correlated_bursts,214,Kahn-FIFO,2,3.0,1.5,0,0.0002206249996561,0.000525958000253,True
correlated_bursts,215,MP,3,3.0,1.0,1,0.0011269400001765,0.0015778360002514,True
correlated_bursts,215,OMP,3,3.0,1.0,1,0.0011520849993758,0.0015180870000222,True
correlated_bursts,215,OLS,3,3.0,1.0,1,0.0030502129998239,0.0034582880002744,True
correlated_bursts,215,FISTA,3,3.0,1.0,1,0.0037837499994566,0.0041580540000722,True
correlated_bursts,215,IRLS,3,3.0,1.0,1,0.0018448709997755,0.0022096400002737,True
correlated_bursts,215,FIFO-Windowed,3,4.0,1.3333333333333333,0,0.0002563799994277,0.0006358209998325,True
correlated_bursts,215,Kahn-FIFO,3,4.0,1.3333333333333333,0,0.0002717420002227,0.0006439929998123,True
correlated_bursts,216,MP,3,3.0,1.0,1,0.0009724910005388,0.001383578000059,True
correlated_bursts,216,OMP,3,3.0,1.0,1,0.0011829099998976,0.0015573040000163,True
correlated_bursts,216,OLS,3,3.0,1.0,1,0.0027277869994577,0.0031755099998918,True
correlated_bursts,216,FISTA,3,3.0,1.0,1,0.002729889999955,0.0030968339997343,True
correlated_bursts,216,IRLS,3,3.0,1.0,1,0.0015867290007918,0.0020025540002279,True
correlated_bursts,216,FIFO-Windowed,3,3.0,1.0,1,0.0002054930000667,0.0005321270000422,True
correlated_bursts,216,Kahn-FIFO,3,3.0,1.0,1,0.0001968420001503,0.00049953000007,True
correlated_bursts,217,MP,3,3.0,1.0,1,0.0009880329994302,0.0013973579998491,True
correlated_bursts,217,OMP,3,3.0,1.0,1,0.0011792140003308,0.0015709449999121,True
correlated_bursts,217,OLS,3,3.0,1.0,1,0.0030282819998319,0.0034036679999189,True
correlated_bursts,217,FISTA,3,3.0,1.0,1,0.0037151489996176,0.0041073190000133,True
correlated_bursts,217,IRLS,3,3.0,1.0,1,0.0018615070002852,0.0022260539999479,True
correlated_bursts,217,FIFO-Windowed,3,4.0,1.3333333333333333,0,0.0002352989999963,0.0006092819999139,True
correlated_bursts,217,Kahn-FIFO,3,4.0,1.3333333333333333,0,0.0002305110001543,0.000581690999752,True
correlated_bursts,218,MP,3,3.0,1.0,1,0.0010196789994552,0.0014503770003102,True
correlated_bursts,218,OMP,3,3.0,1.0,1,0.0010789680000016,0.0014435269999921,True
correlated_bursts,218,OLS,3,3.0,1.0,1,0.0028736430003846,0.003244371999699,True
correlated_bursts,218,FISTA,3,3.0,1.0,1,0.0036156109995317,0.0039939210000738,True
correlated_bursts,218,IRLS,3,3.0,1.0,1,0.0016246230011347,0.0019896549997611,True
correlated_bursts,218,FIFO-Windowed,3,3.0,1.0,1,0.0002383140003985,0.0006375339999067,True
correlated_bursts,218,Kahn-FIFO,3,3.0,1.0,1,0.0002042929991148,0.0005190980000406,True
correlated_bursts,219,MP,2,3.0,1.5,0,0.0010635240000738,0.0014692650001961,True
correlated_bursts,219,OMP,2,3.0,1.5,0,0.0012225689997649,0.0016008989996407,True
correlated_bursts,219,OLS,2,3.0,1.5,0,0.0035232850000284,0.0038965269995969,True
correlated_bursts,219,FISTA,2,3.0,1.5,0,0.0037661650007976,0.0041342290001011,True
correlated_bursts,219,IRLS,2,3.0,1.5,0,0.0019159650000801,0.0022779120004088,True
correlated_bursts,219,FIFO-Windowed,2,3.0,1.5,0,0.0001973800003725,0.0005250170002,True
correlated_bursts,219,Kahn-FIFO,2,3.0,1.5,0,0.0001910230002977,0.0004986180001651,True
correlated_bursts,220,MP,3,3.0,1.0,1,0.0010562349993961,0.0014780480000808,True
correlated_bursts,220,OMP,3,3.0,1.0,1,0.0012201959998492,0.0015953709998939,True
correlated_bursts,220,OLS,3,3.0,1.0,1,0.0034267520004505,0.0038637190000372,True
correlated_bursts,220,FISTA,3,3.0,1.0,1,0.003765072999613,0.0041395170001123,True
correlated_bursts,220,IRLS,3,3.0,1.0,1,0.001831129999573,0.002202109999871,True
correlated_bursts,220,FIFO-Windowed,3,4.0,1.3333333333333333,0,0.0002645430004122,0.0006500429999505,True
correlated_bursts,220,Kahn-FIFO,3,4.0,1.3333333333333333,0,0.0002558380006121,0.0006172240000523,True
correlated_bursts,221,MP,3,3.0,1.0,1,0.0010324080008103,0.0014576069997929,True
correlated_bursts,221,OMP,3,3.0,1.0,1,0.0011233310005991,0.0014858389999972,True
correlated_bursts,221,OLS,3,3.0,1.0,1,0.0031104749996302,0.0034798800002135,True
correlated_bursts,221,FISTA,3,3.0,1.0,1,0.003595110999413,0.0039798099996914,True
correlated_bursts,221,IRLS,3,3.0,1.0,1,0.001727345999825,0.0020852769998782,True
correlated_bursts,221,FIFO-Windowed,3,3.0,1.0,1,0.0002201950001108,0.0005409109999163,True
correlated_bursts,221,Kahn-FIFO,3,3.0,1.0,1,0.0002167310003642,0.0005216119998294,True
correlated_bursts,222,MP,3,3.0,1.0,1,0.0010514259997762,0.0015141809999477,True
correlated_bursts,222,OMP,3,3.0,1.0,1,0.001164594000329,0.0015273600001819,True
correlated_bursts,222,OLS,3,3.0,1.0,1,0.0031888400003481,0.0035665680002239,True
correlated_bursts,222,FISTA,3,3.0,1.0,1,0.0037574599996332,0.0041338179999002,True
correlated_bursts,222,IRLS,3,3.0,1.0,1,0.0018408949995318,0.0022117139997135,True
correlated_bursts,222,FIFO-Windowed,3,4.0,1.3333333333333333,0,0.000236018000578,0.0006080499997551,True
correlated_bursts,222,Kahn-FIFO,3,4.0,1.3333333333333333,0,0.0002323329999853,0.0005868580001333,True
correlated_bursts,223,MP,3,3.0,1.0,1,0.0009421059999112,0.0013612140000986,True
correlated_bursts,223,OMP,3,3.0,1.0,1,0.0011880970000675,0.0015636639996046,True
correlated_bursts,223,OLS,3,3.0,1.0,1,0.0027269359998172,0.0031405479999193,True
correlated_bursts,223,FISTA,3,3.0,1.0,1,0.002891659999932,0.0032625789999656,True
correlated_bursts,223,IRLS,3,3.0,1.0,1,0.0016456160001325,0.0020125089999964,True
correlated_bursts,223,FIFO-Windowed,3,3.0,1.0,1,0.0001948090011865,0.0005198700000619,True
correlated_bursts,223,Kahn-FIFO,3,3.0,1.0,1,0.0001852150003287,0.0004958239996994,True
correlated_bursts,224,MP,3,4.0,1.3333333333333333,0,0.0013016769999012,0.0017842709999058,True
correlated_bursts,224,OMP,3,4.0,1.3333333333333333,0,0.0014174270004332,0.0018370289999438,True
correlated_bursts,224,OLS,3,4.0,1.3333333333333333,0,0.0035866389998773,0.0040254380000988,True
correlated_bursts,224,FISTA,3,4.0,1.3333333333333333,0,0.0039746519996697,0.0044091559998378,True
correlated_bursts,224,IRLS,3,4.0,1.3333333333333333,0,0.0021886899999117,0.0026245049998578,True
correlated_bursts,224,FIFO-Windowed,3,3.0,1.0,1,0.0002222280004389,0.0005456779999803,True
correlated_bursts,224,Kahn-FIFO,3,3.0,1.0,1,0.0002155979996132,0.0005350320002435,True
correlated_bursts,225,MP,3,3.0,1.0,1,0.0010452759988766,0.00145641600011,True
correlated_bursts,225,OMP,3,3.0,1.0,1,0.0011541090002538,0.0015199089998532,True
correlated_bursts,225,OLS,3,3.0,1.0,1,0.0030737889996999,0.0034411429996907,True
correlated_bursts,225,FISTA,3,3.0,1.0,1,0.0037406350002129,0.0041312039998047,True
correlated_bursts,225,IRLS,3,3.0,1.0,1,0.0023992819997147,0.002907313000378,True
correlated_bursts,225,FIFO-Windowed,3,3.0,1.0,1,0.0002348179996261,0.0005982049997328,True
correlated_bursts,225,Kahn-FIFO,3,3.0,1.0,1,0.0001982819999284,0.0005109969997647,True
correlated_bursts,226,MP,3,3.0,1.0,1,0.00111496099953,0.0015508960000261,True
correlated_bursts,226,OMP,3,3.0,1.0,1,0.0012559089996102,0.0016210089997912,True
correlated_bursts,226,OLS,3,3.0,1.0,1,0.0037208570001894,0.0041036229999917,True
correlated_bursts,226,FISTA,3,3.0,1.0,1,0.0037933639996481,0.004165785999703,True
correlated_bursts,226,IRLS,3,3.0,1.0,1,0.0018671150005502,0.0022331350000968,True
correlated_bursts,226,FIFO-Windowed,3,4.0,1.3333333333333333,0,0.0002570700003161,0.000633968999864,True
correlated_bursts,226,Kahn-FIFO,3,4.0,1.3333333333333333,0,0.0002469059991199,0.0006030730000929,True
correlated_bursts,227,MP,3,3.0,1.0,1,0.0009664590002103,0.0013790009998047,True
correlated_bursts,227,OMP,3,3.0,1.0,1,0.0010842750007213,0.0016362220003429,True
correlated_bursts,227,OLS,3,3.0,1.0,1,0.0030348409995895,0.0034507069999563,True
correlated_bursts,227,FISTA,3,3.0,1.0,1,0.0027282190008008,0.0031007390002741,True
correlated_bursts,227,IRLS,3,3.0,1.0,1,0.0016408590004175,0.0020574549998855,True
correlated_bursts,227,FIFO-Windowed,3,3.0,1.0,1,0.0002272859996992,0.0005558220000239,True
correlated_bursts,227,Kahn-FIFO,3,3.0,1.0,1,0.000225362999572,0.0005328689999259,True
correlated_bursts,228,MP,3,3.0,1.0,1,0.0010007299997596,0.0014108880000094,True
correlated_bursts,228,OMP,3,3.0,1.0,1,0.0012556589999803,0.0016494210003656,True
correlated_bursts,228,OLS,3,3.0,1.0,1,0.0031291719992623,0.0035009309999622,True
correlated_bursts,228,FISTA,3,3.0,1.0,1,0.0037526159999288,0.0041343590000906,True
correlated_bursts,228,IRLS,3,3.0,1.0,1,0.0018140860001949,0.002167707999888,True
correlated_bursts,228,FIFO-Windowed,3,3.0,1.0,1,0.0002105019993905,0.0005324379999365,True
correlated_bursts,228,Kahn-FIFO,3,3.0,1.0,1,0.0002472159990247,0.0005704239997612,True
correlated_bursts,229,MP,2,3.0,1.5,0,0.0010848570004782,0.0014995589999671,True
correlated_bursts,229,OMP,2,3.0,1.5,0,0.0011130779994346,0.001481732999764,True
correlated_bursts,229,OLS,2,3.0,1.5,0,0.0030431440004576,0.0034123010000257,True
correlated_bursts,229,FISTA,2,3.0,1.5,0,0.0028233189996171,0.0031910829998196,True
correlated_bursts,229,IRLS,2,3.0,1.5,0,0.0014907360000506,0.0018513800000619,True
correlated_bursts,229,FIFO-Windowed,2,3.0,1.5,0,0.0001978130007955,0.0005166050000298,True
correlated_bursts,229,Kahn-FIFO,2,3.0,1.5,0,0.0001900909996948,0.000494462000006,True
iid,200,MP,2,3.0,1.5,0,0.0010237859996777,0.0014727089996995,True
iid,200,OMP,2,3.0,1.5,0,0.0012264060001143,0.0015992270000424,True
iid,200,OLS,2,3.0,1.5,0,0.0032098589995257,0.0035864080000465,True
iid,200,FISTA,2,3.0,1.5,0,0.0037190059993008,0.0041062569998757,True
iid,200,IRLS,2,3.0,1.5,0,0.0017091999998228,0.00206788100013,True
iid,200,FIFO-Windowed,2,3.0,1.5,0,0.0001990429996112,0.0005245759998615,True
iid,200,Kahn-FIFO,2,3.0,1.5,0,0.0001909730003717,0.0005466689999593,True
iid,201,MP,3,4.0,1.3333333333333333,0,0.0013958640006421,0.0018768680001812,True
iid,201,OMP,3,4.0,1.3333333333333333,0,0.0014813329999014,0.0019078939999417,True
iid,201,OLS,3,4.0,1.3333333333333333,0,0.0040786260015011,0.0045140409997657,True
iid,201,FISTA,3,4.0,1.3333333333333333,0,0.0045626340001945,0.0051338789999135,True
iid,201,IRLS,3,4.0,1.3333333333333333,0,0.002246733999982,0.0026950880001095,True
iid,201,FIFO-Windowed,3,3.0,1.0,1,0.0002436519998809,0.0005762830001003,True
iid,201,Kahn-FIFO,3,3.0,1.0,1,0.0003195619997313,0.0006968109996705,True
iid,202,MP,3,3.0,1.0,1,0.0012427489996298,0.0017604559998289,True
iid,202,OMP,3,3.0,1.0,1,0.0013449680004669,0.0018584610002108,True
iid,202,OLS,3,3.0,1.0,1,0.0038466529995275,0.0043188520003241,True
iid,202,FISTA,3,3.0,1.0,1,0.0035937490001742,0.0039984879999792,True
iid,202,IRLS,3,3.0,1.0,1,0.0017613879999771,0.002118836000136,True
iid,202,FIFO-Windowed,3,3.0,1.0,1,0.0001782159993126,0.0005058279998593,True
iid,202,Kahn-FIFO,3,3.0,1.0,1,0.0001711519994387,0.0004785380001521,True
iid,203,MP,3,3.0,1.0,1,0.0013217569999142,0.0018540539999776,True
iid,203,OMP,3,3.0,1.0,1,0.0016328560000147,0.0020963530000699,True
iid,203,OLS,3,3.0,1.0,1,0.0041946980004468,0.0046179249998203,True
iid,203,FISTA,3,3.0,1.0,1,0.0038043999993533,0.0041820090000328,True
iid,203,IRLS,3,3.0,1.0,1,0.0019784270002674,0.0023954750004122,True
iid,203,FIFO-Windowed,3,3.0,1.0,1,0.0001955190000444,0.0005365039996831,True
iid,203,Kahn-FIFO,3,3.0,1.0,1,0.0001833020005506,0.0004915980002806,True
iid,204,MP,3,3.0,1.0,1,0.0012987019999854,0.0017974299998968,True
iid,204,OMP,3,3.0,1.0,1,0.0015580740000586,0.0020645760000661,True
iid,204,OLS,3,3.0,1.0,1,0.0043572899999162,0.0048012259999268,True
iid,204,FISTA,3,3.0,1.0,1,0.0037449230003403,0.0042032209998978,True
iid,204,IRLS,3,3.0,1.0,1,0.00180397099939,0.0021620200000143,True
iid,204,FIFO-Windowed,3,3.0,1.0,1,0.0002453930005685,0.0005870290001439,True
iid,204,Kahn-FIFO,3,3.0,1.0,1,0.000231151000662,0.0005598180000561,True
iid,205,MP,2,2.0,1.0,1,0.0009986360005314,0.0014453889998549,True
iid,205,OMP,2,2.0,1.0,1,0.0010712860002968,0.0014459999997598,True
iid,205,OLS,2,2.0,1.0,1,0.0035130189999108,0.0038949240001784,True
iid,205,FISTA,2,2.0,1.0,1,0.0030840160002298,0.0034157660002165,True
iid,205,IRLS,2,2.0,1.0,1,0.0013176000002204,0.0016187659998649,True
iid,205,FIFO-Windowed,2,2.0,1.0,1,0.000158575000114,0.0004253800002516,True
iid,205,Kahn-FIFO,2,2.0,1.0,1,0.0002257640003335,0.0005707949999305,True
iid,206,MP,2,3.0,1.5,0,0.0010964329994749,0.0015345709998655,True
iid,206,OMP,2,3.0,1.5,0,0.0012620370002878,0.0016289710001728,True
iid,206,OLS,2,3.0,1.5,0,0.0041035630001715,0.0045390980003503,True
iid,206,FISTA,2,3.0,1.5,0,0.0038197429998945,0.0042104419999304,True
iid,206,IRLS,2,3.0,1.5,0,0.0018594739999571,0.0022225389998311,True
iid,206,FIFO-Windowed,2,3.0,1.5,0,0.0002177620003749,0.000541941999927,True
iid,206,Kahn-FIFO,2,3.0,1.5,0,0.0002109020006173,0.0005215920000409,True
iid,207,MP,2,3.0,1.5,0,0.0013238379997346,0.001840723999976,True
iid,207,OMP,2,3.0,1.5,0,0.0013779390010313,0.0018366590002187,True
iid,207,OLS,2,3.0,1.5,0,0.0039594890008629,0.0044196610001563,True
iid,207,FISTA,2,3.0,1.5,0,0.0029687840001315,0.0033605040002839,True
iid,207,IRLS,2,3.0,1.5,0,0.0015957999999045,0.001961492999726,True
iid,207,FIFO-Windowed,2,2.0,1.0,1,0.0002026699999078,0.0004904459997305,True
iid,207,Kahn-FIFO,2,2.0,1.0,1,0.0001583839994054,0.0004193499999018,True
iid,208,MP,3,3.0,1.0,1,0.0012687379994531,0.0017747760002748,True
iid,208,OMP,3,3.0,1.0,1,0.001385360000313,0.0019002129997716,True
iid,208,OLS,3,3.0,1.0,1,0.004122211998947,0.0046056670003054,True
iid,208,FISTA,3,3.0,1.0,1,0.0037908300000708,0.0041766620001908,True
iid,208,IRLS,3,3.0,1.0,1,0.0017963880004572,0.0021567219996541,True
iid,208,FIFO-Windowed,3,3.0,1.0,1,0.0001975010000023,0.0005340399998203,True
iid,208,Kahn-FIFO,3,3.0,1.0,1,0.0001934049996634,0.0005517770000551,True
iid,209,MP,3,3.0,1.0,1,0.0013516500002879,0.0018936530000246,True
iid,209,OMP,3,3.0,1.0,1,0.0014249969999582,0.0018846990001293,True
iid,209,OLS,3,3.0,1.0,1,0.0040757540000413,0.0045452879999174,True
iid,209,FISTA,3,3.0,1.0,1,0.0033677750002425,0.0037680270002056,True
iid,209,IRLS,3,3.0,1.0,1,0.0018542840002737,0.0022263450000536,True
iid,209,FIFO-Windowed,3,3.0,1.0,1,0.0002181320001,0.0005529690001822,True
iid,209,Kahn-FIFO,3,3.0,1.0,1,0.0002045020000878,0.0005128890002197,True
iid,210,MP,3,3.0,1.0,1,0.0012513629999375,0.0017545770001561,True
iid,210,OMP,3,3.0,1.0,1,0.0015360249999503,0.0020122579999224,True
iid,210,OLS,3,3.0,1.0,1,0.0040711739998187,0.0045005710003351,True
